player,team
Matthew Kennedy,WBD
Finn Callaghan,GWS
Stephen Coniglio,GWS
Jake Soligo,ADE
Jesse Hogan,GWS
Ben Keays,ADE
Jase Burgoyne,PTA
Oliver Florent,SYD
Jake Waterman,WCE
Alex Sexton,GCS
Sam Docherty,CAR
Jy Simpkin,NTH
Matt Roberts,SYD
Jake Lloyd,SYD
Steven May,MEL
Josh Treacy,FRE
Sam Darcy,WBD
Bailey Williams,WBD
Darcy Wilmot,BRL
Zach Guthrie,GEE
Miles Bergman,PTA
Dylan Shiel,ESS
Elijah Hollands,CAR
Travis Boak,PTA
Wil Powell,GCS
John Noble,GCS
Bradley Hill,STK
Will Day,HAW
Callum Mills,SYD
Harry Perryman,COL
Charlie Curnow,CAR
Conor Nash,HAW
Ivan Soldo,PTA
Brayden Fiorini,GCS
Callum Wilkie,STK
Josh Battle,HAW
Lachie Weller,GCS
Jack Ginnivan,HAW
Hunter Clark,STK
Shai Bolton,FRE
Toby Greene,GWS
Steele Sidebottom,COL
Ned Moyle,GCS
Jeremy Sharp,FRE
Shaun Mannagh,GEE
Oliver Dempsey,GEE
Adam Cerra,CAR
Connor Idun,GWS
Dion Prestia,RIC
Callan Ward,GWS
Tom Atkins,GEE
Jack Macrae,STK
Cameron Guthrie,GEE
Brayden Maynard,COL
Jamie Cripps,WCE
Adam Saad,CAR
Kyle Langford,ESS
Tanner Bruhn,GEE
Marcus Windhager,STK
James Trezise,RIC
Archie Roberts,ESS
Logan Evans,PTA
Mitch McGovern,CAR
Zac Bailey,BRL
Connor Budarick,GCS
Sam Switkowski,FRE
Lawson Humphries,GEE
Patrick Lipinski,COL
Josh Worrell,ADE
Lachlan Bramble,WBD
Mark Blicavs,GEE
Darcy Tucker,NTH
Marc Pittonet,CAR
Tom Papley,SYD
Brennan Cox,FRE
Jack Scrimshaw,HAW
Taylor Adams,SYD
Cam Rayner,BRL
Nick Haynes,CAR
Sam Draper,ESS
Harley Reid,WCE
Brodie Kemp,CAR
Ryan Byrnes,STK
Cameron Zurhaar,NTH
Will Hayward,SYD
Billy Dowling,ADE
Kysaiah Pickett,MEL
Jake Stringer,GWS
Sam Clohesy,GCS
James Harmes,WBD
Rhys Stanley,GEE
Ryan Burton,PTA
Heath Chapman,FRE
Darcy Wilson,STK
Rory Lobb,WBD
Max Michalanney,ADE
Jack Ross,RIC
James Aish,FRE
Ryan Lester,BRL
Ben Ainsworth,GCS
Archie Perkins,ESS
Tom Sparrow,MEL
Jacob Weitering,CAR
Hayden McLean,SYD
Blake Hardwick,HAW
Jack Graham,WCE
Luke Nankervis,ADE
Jeremy Howe,COL
Josh Rachele,ADE
Peter Wright,ESS
Tyson Stengle,GEE
Jamie Elliott,COL
Mac Andrew,GCS
Brodie Smith,ADE
Bailey J. Williams,WCE
Ryley Sanders,WBD
Toby Conway,GEE
Mattaes Phillipou,STK
Tom Cole,WCE
Jayden Laverde,ESS
Jack Billings,MEL
Mitch Georgiades,PTA
Harris Andrews,BRL
Paddy Dow,STK
Tom McDonald,MEL
Mark Keane,ADE
Riley Garcia,WBD
Jake Bowey,MEL
Tim Membrey,COL
Oliver Hollands,CAR
Jamarra Ugle-Hagan,WBD
Jayden Hunt,WCE
Lachie Schultz,COL
Riley Thilthorpe,ADE
Aliir Aliir,PTA
Bailey Banfield,FRE
Jaeger O'Meara,FRE
Matthew Johnson,FRE
Taylor Walker,ADE
James Peatling,ADE
Nathan Broad,RIC
Bodhi Uwland,GCS
Eric Hipwood,BRL
Jack Lukosius,PTA
Corey Wagner,FRE
Cody Weightman,WBD
Joel Freijah,WBD
Kade Chandler,MEL
James Jordon,SYD
Taylor Duryea,WBD
Jack Higgins,STK
Zac Williams,CAR
Noah Balta,RIC
Nick Bryan,ESS
Matt Flynn,WCE
Charlie Comben,NTH
Jaspa Fletcher,BRL
Jack Buckley,GWS
Conor McKenna,BRL
Luke McDonald,NTH
Jackson Mead,PTA
Alex Davies,GCS
Aaron Naughton,WBD
Reuben Ginbey,WCE
Todd Goldstein,ESS
Kai Lohmann,BRL
Nat Fyfe,FRE
Chayce Jones,ADE
Jake Riccardi,GWS
Rhylee West,WBD
Will Phillips,NTH
Callum Ah Chee,BRL
Mabior Chol,HAW
Jake Kolodjashnij,GEE
Rory Atkins,PTA
Josh Weddle,HAW
Mitch Lewis,HAW
Judd McVee,MEL
Caleb Windsor,MEL
Sam Berry,ADE
Joel Jeffrey,GCS
Logan McDonald,SYD
Jimmy Webster,STK
Tom Barrass,HAW
Will Hoskin-Elliott,COL
Brody Mihocek,COL
Will Graham,GCS
Charlie Cameron,BRL
Darcy Fogarty,ADE
Jordan Boyd,CAR
Brady Hough,WCE
Elijah Tsatas,ESS
Liam Ryan,WCE
Bailey Smith,GEE
Cam Mackenzie,HAW
Lincoln McCarthy,BRL
Toby Bedford,GWS
Zak Jones,STK
Liam Henry,STK
Mitch Owens,STK
Caleb Poulter,WBD
Jacob van Rooyen,MEL
Matt Guelfi,ESS
Jeremy Finlayson,PTA
Darcy Byrne-Jones,PTA
Shannon Neale,GEE
Harry Morrison,HAW
Oscar Allen,WCE
Lachlan Cowan,CAR
Wayne Milera,ADE
Paul Curtis,NTH
Josh Ward,HAW
Bobby Hill,COL
Jake Lever,MEL
Isaac Cumming,ADE
Jack Gunston,HAW
Brad Close,GEE
Ben Long,GCS
Peter Ladhams,SYD
Nick Watson,HAW
Nick Larkey,NTH
Brandon Walker,FRE
Sam De Koning,GEE
Mark O'Connor,GEE
Jade Gresham,ESS
Harvey Gallagher,WBD
Darcy Jones,GWS
Harrison Jones,ESS
Rhyan Mansell,RIC
Koltyn Tholstrup,MEL
Jack Henry,GEE
Ben Miller,RIC
Jacob Wehr,GWS
Ben McKay,ESS
Eddie Ford,NTH
Hugo Ralphsmith,RIC
Jack Darling,NTH
Todd Marshall,PTA
Sam Day,BRL
Sam Collins,GCS
Lewis Young,CAR
Kieran Strachan,ADE
Ben King,GCS
Isaac Quaynor,COL
Nate Caddy,ESS
Oskar Baker,WBD
Beau McCreery,COL
Nik Cox,ESS
Darcy Fort,BRL
Cooper Lord,CAR
Lachlan Murphy,ADE
Willie Rioli,PTA
Harry Cunningham,SYD
Blake Howes,MEL
Harry Sharp,MEL
Lachlan McNeil,WBD
Jack Payne,BRL
Thomson Dow,RIC
Max King,STK
Sam Taylor,GWS
Liam Jones,WBD
Henry Hustwaite,HAW
Noah Answerth,BRL
Dylan Williams,PTA
Keidean Coleman,BRL
Lachie Fogarty,CAR
Harrison Petty,MEL
Liam Stocker,STK
Mason Cox,COL
Brandon Zerk-Thatcher,PTA
Cooper Sharman,STK
Charlie Ballard,GCS
Caleb Daniel,NTH
Bayley Fritsch,MEL
Dougal Howard,STK
Ned Reeves,HAW
Matthew Cottrell,CAR
Aidan Corr,NTH
Robbie Fox,SYD
Seth Campbell,RIC
Jye Amiss,FRE
Alex Pearce,FRE
Joe Richards,PTA
Tom Brown,RIC
Elliott Himmelberg,GCS
Esava Ratugolea,PTA
Finn Maginness,HAW
Nick Holman,GCS
Thomas Berry,GCS
Michael Frederick,FRE
Matthew Owies,WCE
Joel Amartey,SYD
Ben Hobbs,ESS
Sam Powell-Pepper,PTA
Sam Sturt,FRE
Jack Petruccelle,WCE
Darcy Moore,COL
Arie Schoenmaker,STK
Changkuoth Jiath,HAW
Anthony Caminiti,STK
Bruce Reville,BRL
Braeden Campbell,SYD
Daniel McStay,COL
Luke Pedlar,ADE
Dylan Stephens,NTH
Xavier O'Halloran,GWS
James Borlase,ADE
Kamdyn McIntosh,RIC
Jhye Clark,GEE
Dane Rampe,SYD
Shane McAdam,MEL
Jacob Koschitzke,RIC
Maurice Rioli,RIC
Will Brodie,FRE
Brandon Starcevich,BRL
James O'Donnell,WBD
Lachlan Sullivan,COL
Harvey Thomas,GWS
Andy Moniz-Wakefield,MEL
Marty Hore,MEL
Ryan Angwin,GWS
Jake Melksham,MEL
Oleg Markov,COL
Finlay Macrae,COL
Tom McCartin,SYD
Bailey Humphrey,GCS
Oliver Henry,GEE
Jack Williams,WCE
Dan Butler,STK
Lachie Jones,PTA
Tyler Sonsie,RIC
Mykelti Lefau,RIC
Ben Paton,SYD
Laitham Vandermeer,WBD
Jack Silvagni,CAR
Michael Walters,FRE
Charlie Dean,COL
Josh Sinn,PTA
Nick Murray,ADE
Samson Ryan,RIC
Jackson Archer,NTH
Aaron Cadman,GWS
Jesse Motlop,CAR
Angus Sheldrick,SYD
Sam Banks,RIC
Buku Khamis,WBD
Calsher Dear,HAW
Logan Morris,BRL
Dante Visentini,PTA
Nathan O'Driscoll,FRE
Jack Martin,GEE
Edward Allan,COL
Lloyd Johnston,GCS
Neil Erasmus,FRE
Tom Lynch,RIC
Daniel Turner,MEL
Noah Long,WCE
Aaron Francis,SYD
Darragh Joyce,BRL
Mitch Knevitt,GEE
Jordon Butts,ADE
Alex Cincotta,CAR
Chris Burgess,ADE
Zac Taylor,ADE
Lachlan Keeffe,GWS
Harry Schoenberg,ADE
Toby McMullin,GWS
Callum M. Brown,GWS
Brayden Cook,ADE
David Swallow,GCS
Sean Lemmens,GCS
Malcolm Rosas,GCS
Ned Long,COL
Angus McLennan,STK
Hugo Garcia,STK
Ryan Maric,WCE
Jacob Blight,RIC
Harvey Harrison,COL
Campbell Chesser,WCE
Leek Aleer,GWS
Jack Carroll,STK
Josh Goater,NTH
Jed Bews,GEE
Callum Coleman-Jones,NTH
Harry Edwards,WCE
Nick Coffield,WBD
Griffin Logue,NTH
Liam Reidy,FRE
Brynn Teakle,NTH
Oisin Mullin,GEE
Callum Jamieson,WCE
Tom Doedee,BRL
Kallan Dawson,NTH
Kane McAuliffe,RIC
Jai Serong,HAW
Jaxon Binns,CAR
Jye Menzie,ESS
Joshua Draper,FRE
Luke Breust,HAW
Sam Wicks,SYD
Lewis Melican,SYD
Tylar Young,RIC
Patrick Voss,FRE
Jack Hutchinson,WCE
Sam Frost,HAW
Billy Frampton,COL
Quinton Narkle,FRE
Anthony Scott,WBD
Zaine Cordy,STK
Bailey Macdonald,HAW
Shadeau Brain,BRL
Zane Duursma,NTH
Ash Johnson,COL
Jacob Bauer,RIC
Darcy Gardiner,BRL
Miller Bergman,NTH
Sam Butler,HAW
Jaxon Prior,ESS
Tyler Brockman,WCE
Orazio Fantasia,CAR
Seamus Mitchell,HAW
Steely Green,RIC
Jake Rogers,GCS
Jed Walter,GCS
Riley Hardeman,NTH
Jed McEntee,PTA
Sam Lalor,RIC
Charlie Spargo,MEL
Hugh Bond,ADE
Toby Pink,NTH
Finn O'Sullivan,NTH
Taj Woewodin,MEL
Luke Cleary,WBD
Jagga Smith,CAR
Elijah Hewett,WCE
Sid Draper,ADE
Levi Ashcroft,BRL
Harvey Langford,MEL
Bailey Laurie,MEL
Reef McInnes,COL
Tyrell Dewar,WCE
Josh Smillie,RIC
Joe Fonti,GWS
Cooper Harvey,NTH
Tobie Travaglia,STK
Wil Parker,COL
Tom Campbell,MEL
Leonardo Lombard,GCS
Corey Durdin,CAR
Ollie Lord,PTA
Karl Worner,FRE
Henry Smith,BRL
Joel Hamling,SYD
Alixzander Tauru,STK
Xavier Lindsay,MEL
Taj Hotton,RIC
Isaac Kako,ESS
Deven Robertson,BRL
Jonty Faull,RIC
Daniel Curtin,ADE
Connor O'Sullivan,GEE
Joe Berry,PTA
Judson Clarke,RIC
Bo Allan,WCE
Robert Hansen Jr,NTH
Murphy Reid,FRE
Brandon Ryan,BRL
Oliver Hannaford,GWS
Harrison Oliver,GWS
Oscar McDonald,FRE
Arthur Jones,WBD
Alwyn Davey Jnr,ESS
Cooper Hynes,WBD
Luke Trainor,RIC
Ryan Gardner,WBD
Tom Fullarton,MEL
Max Ramsden,HAW
Jesse Dattoli,SYD
Harry Armstrong,RIC
Cody Angove,GWS
Sam Marshall,BRL
Clay Hall,WCE
Ted Clohesy,GEE
Ned Bowman,SYD
Jy Farrar,GCS
Matt Whitlock,NTH
Harvey Johnston,WCE
Thomas Sims,RIC
Corey Warner,SYD
Lachie Jaques,WBD
Jobe Shanahan,WCE
Caleb Graham,GCS
Josh Dolan,WBD
James Barrat,STK
Caiden Cleary,SYD
Jack Whitlock,PTA
Josh Fahey,GWS
Charlie Nicholls,FRE
Noah Mraz,HAW
Jack Ough,GWS
Kayle Gerreyn,ESS
Jaime Uhr-Henry,HAW
Lachlan Smith,WBD
Max Heath,STK
Mate Colina,RIC
Alex Dodson,STK
Oliver Hayes-Brown,RIC
Taylor Goad,NTH
William Green,SYD
Max Knobel,GCS
Will Verrall,MEL
Coen Livingstone,WCE
Harry Barnett,WCE
Nicholas Madden,GWS
Logan Smith,GWS
Aiden Riddle,FRE
Hudson O'Keeffe,CAR
Oscar Steene,COL
Iliro Smit,COL
Mitchell Edwards,GEE
Jacob Molier,GEE
Joe Pike,GEE
Cody Anderson,HAW
Josaia Delana,GWS
James Leake,GWS
Luke Kennedy,WBD
Hugh Boxshall,STK
Lucas Camporeale,CAR
Ben Camporeale,CAR
Archer Day-Wicks,ESS
Luke Urquhart,NTH
Saad El-Hawli,ESS
Zak Johnson,ESS
Rhys Unwin,ESS
Reece Torrent,BRL
George Stevens,GEE
Xavier Ivisic,GEE
Patrick Retschko,GEE
Max Hall,STK
Patrick Said,STK
Jayden Nguyen,ESS
Geordie Payne,NTH
River Stevens,NTH
Harry Charleson,CAR
Charlie Edwards,ADE
Hugh Jackson,PTA
Tom Cochrane,PTA
Benny Barrett,PTA
Christian Moraes,PTA
Zak Evans,GCS
Indhi Kirk,SYD
Tom Hanily,SYD
William Hayes,COL
Oliver Sestan,MEL
Lucca Grego,WCE
Tom Gross,WCE
Phoenix Gothard,GWS
Nathan Wardius,GWS
Hamish Davis,WCE
Sam Davidson,WBD
Angus Clarke,ESS
Luamon Lual,ESS
Rob Monahan,CAR
Jasper Scaife,HAW
Tyler Welsh,ADE
Karl Gallagher,ADE
Darcy Craven,BRL
Will McLachlan,BRL
Ty Gallop,BRL
Jack Delean,FRE
Jaren Carr,FRE
Jacob Konstanty,NTH
Vigo Visentini,ESS
Oliver Wiltshire,GEE
Jay Polkinghorne,GEE
Keighton Matofai-Forbes,GEE
Kynan Brown,MEL
Will Lorenz,PTA
Bodie Ryan,HAW
Matt Hill,HAW
Brayden George,NTH
Luke Lloyd,BRL
Luke Beecken,BRL
Billy Wilson,CAR
Harry O'Farrell,CAR
Liam O'Connell,STK
Matt Duffy,CAR
Jordan Croft,WBD
Asher Eastham,GCS
Lachlan Gulbin,GCS
Lennox Hoffman,GEE
Cillian Burke,GEE
Toby Murray,ADE
Harry Lemmey,CAR
Oscar Ryan,ADE
Aidan Johnson,MEL
Finnbar Maley,NTH
Odin Jones,FRE
Lachlan Charleson,PTA
Tom Anastasopoulos,PTA
Jasper Alger,RIC
Lance Collard,STK
Ashton Moir,CAR
Matthew Jefferson,MEL
Luker Kentfield,MEL
Riley Bice,SYD
Riak Andrew,SYD
Blake Leidler,SYD
Harry Rowston,GWS
Charlie West,COL
Jacob Moss,PTA
Harry DeMattia,COL
Joel Cochran,COL
Malakai Champion,WCE
Liam Fawcett,RIC
Campbell Gray,RIC
Archer Reid,WCE
Caleb Mitchell,SYD
Jakob Ryan,COL
Kaleb Smith,RIC
William McCabe,HAW
James Tunstill,BRL
Angus Hastie,STK
Isaac Keeler,STK
Lewis Hayes,ESS
Wade Derksen,GWS
Jedd Busslinger,WBD
Zane Zakostelsky,BRL
Ollie Murphy,FRE
Cooper Bell,GCS
Xavier Walsh,PTA
William Edwards,SYD
Patrick Snell,SYD
Jed Adams,MEL
Ricky Mentha,MEL
Conor Stone,GWS
Max Gruzewski,GWS
Cooper Simpson,FRE
Tew Jiath,COL
Rhett Bazzo,WCE
Wil Dawson,NTH
Jack Buller,SYD
Josh Gibcus,RIC
Zach Reid,ESS
Loch Rawlinson,WCE
Ethan Read,GCS
James Blanck,HAW
Hugh Davies,FRE
Harry Boyd,STK
Ben Jepson,GCS
Matthew Carroll,CAR
Eamonn Armstrong,STK
