player,team
Jed Adams,MEL
Brayden George,NTH
Angus Anderson,COL
Reece Torrent,BRL
Mitchell Edwards,GEE
Luker Kentfield,MEL
Patrick Snell,SYD
Noah Roberts-Thomson,RIC
Jacob Molier,GEE
Alex Dodson,STK
Matthew LeRay,HAW
Charlie Nicholls,FRE
Ben Camporeale,CAR
Zane Peucker,RIC
Charlie West,COL
Ned Bowman,SYD
Jay Polkinghorne,GEE
Riak Andrew,SYD
Harry DeMattia,COL
Max Knobel,GCS
Lachlan Smith,WBD
Iliro Smit,COL
Tobyn Murray,FRE
Joe Pike,GEE
Tom Anastasopoulos,PTA
Oscar Ryan,ADE
William Green,SYD
Harvey Johnston,WCE
Luke Lloyd,BRL
Ollie Murphy,FRE
Aiden Riddle,FRE
Oliver Hannaford,GWS
Lachie Jaques,WBD
Harry Charleson,CAR
Patrick Said,STK
Jagga Smith,CAR
Jasper Alger,RIC
Jack Ough,GWS
Asher Eastham,GCS
James Barrat,STK
Matt Whitlock,NTH
Harrison Oliver,GWS
Cody Anderson,HAW
Josh Smillie,RIC
Noah Mraz,HAW
Charlie Edwards,ADE
Joel Cochran,COL
Max King,SYD
Riley Hamilton,GWS
Cooper Bell,GCS
Malakai Champion,WCE
Xavier Walsh,PTA
Kayle Gerreyn,ESS
Ricky Mentha,MEL
Bailey Macdonald,HAW
Luke Urquhart,NTH
Leonardo Lombard,GCS
Will McLachlan,BRL
Hussien El Achkar,ESS
Zac McCarthy,COL
Taylor Goad,NTH
River Stevens,NTH
Tew Jiath,COL
Phoenix Gothard,GWS
Patrick Retschko,RIC
Luke Kennedy,WBD
Lennox Hofmann,GEE
Keighton Matofai-Forbes,GEE
Logan Smith,GWS
Jevan Phillipou,SYD
Zane Zakostelsky,BRL
Leon Kickett,FRE
Noah Chamberlain,SYD
Nicholas Driscoll,GEE
Jack Dalton,HAW
Kye Fincher,STK
Archie Ludowyke,ADE
Jack Ison,CAR
Finnegan Davis,GWS
Oliver Greeves,HAW
Jesse Mellor,GEE
Riley Onley,MEL
Koby Coulson,GCS
Kalani White,MEL
Liam Hetherton,SYD
Fred Rodriguez,WCE
Toby Whan,FRE
Jai Saxena,COL
Nathan Wardius,GWS
Rob Monahan,CAR
Oliver Hayes-Brown,RIC
Hugo Mikunda,NTH
Talor Byrne,CAR
Max Kondogiannis,ESS
Charlie Banfield,STK
Cody Curtin,BRL
Tylah Williams,WCE
Sam Swadling,COL
Koby Evans,BRL
Ryda Luke,FRE
Zak Evans,GCS
Jacob Moss,PTA
Hunter Holmes,GEE
Jaime Uhr-Henry,HAW
Matt Hill,HAW
Cillian Burke,GEE
Matt Duffy,CAR
Eamonn Armstrong,STK
Josh Lai,PTA
Tai Hayes,BRL
Zac Walker,WBD
Tyan Prindable,COL
Will Darcy,WBD
Cillian Bourke,ESS
Indy Cotton,ADE
Ben Murphy,BRL
Kobe McDonald,STK
